"date","open","high","low","close","adjClose","volume","unadjustedVolume","change","changePercent","vwap","label","changeOverTime"
"2015-11-30","117.99","119.41","117.75","118.3","110.88","39180300","39180300","-0.31","-0.263","118.48667","November 30, 15","-0.00263"
"2015-12-01","118.75","118.81","116.86","117.34","109.98","34852400","34852400","1.41","1.187","117.67","December 01, 15","0.01187"
"2015-12-02","117.34","118.11","116.08","116.28","108.99","33386600","33386600","1.06","0.903","116.82333","December 02, 15","0.00903"
"2015-12-03","116.55","116.79","114.22","115.2","107.97","41569500","41569500","1.35","1.158","115.40333","December 03, 15","0.01158"
"2015-12-04","115.29","119.25","115.11","119.03","111.56","57777000","57777000","-3.74","-3.244","117.79667","December 04, 15","-0.03244"
"2015-12-07","118.98","119.86","117.81","118.28","110.86","32084200","32084200","0.7","0.588","118.65","December 07, 15","0.00588"
"2015-12-08","117.52","118.6","116.86","118.23","110.81","34309500","34309500","-0.71","-0.604","117.89667","December 08, 15","-0.00604"
"2015-12-09","117.64","117.69","115.08","115.62","108.37","46361400","46361400","2.02","1.717","116.13","December 09, 15","0.01717"
"2015-12-10","116.04","116.94","115.51","116.17","108.88","29212700","29212700","-0.13","-0.112","116.20667","December 10, 15","-0.00112"
"2015-12-11","115.19","115.39","112.85","113.18","106.08","46886200","46886200","2.01","1.745","113.80667","December 11, 15","0.01745"
"2015-12-14","112.18","112.68","109.79","112.48","105.43","64318700","64318700","-0.3","-0.267","111.65","December 14, 15","-0.00267"
"2015-12-15","111.94","112.8","110.35","110.49","103.56","53323100","53323100","1.45","1.295","111.21333","December 15, 15","0.01295"
"2015-12-16","111.07","111.99","108.8","111.34","104.36","56238500","56238500","-0.27","-0.243","110.71","December 16, 15","-0.00243"
"2015-12-17","112.02","112.25","108.98","108.98","102.14","44772800","44772800","3.04","2.714","110.07","December 17, 15","0.02714"
"2015-12-18","108.91","109.52","105.81","106.03","99.38","96453300","96453300","2.88","2.644","107.12","December 18, 15","0.02644"
"2015-12-21","107.28","107.37","105.57","107.33","100.6","47590600","47590600","-0.05","-0.047","106.75667","December 21, 15","-0.00047"
"2015-12-22","107.4","107.72","106.45","107.23","100.5","32789400","32789400","0.17","0.158","107.13333","December 22, 15","0.00158"
"2015-12-23","107.27","108.85","107.2","108.61","101.8","32657400","32657400","-1.34","-1.249","108.22","December 23, 15","-0.01249"
"2015-12-24","109.0","109.0","107.95","108.03","101.25","13570400","13570400","0.97","0.89","108.32667","December 24, 15","0.0089"
"2015-12-28","107.59","107.69","106.18","106.82","100.12","26704200","26704200","0.77","0.716","106.89667","December 28, 15","0.00716"
"2015-12-29","106.96","109.43","106.86","108.74","101.92","30931200","30931200","-1.78","-1.664","108.34333","December 29, 15","-0.01664"
"2015-12-30","108.58","108.7","107.18","107.32","100.59","25213800","25213800","1.26","1.16","107.73333","December 30, 15","0.0116"
"2015-12-31","107.01","107.03","104.82","105.26","98.66","40912300","40912300","1.75","1.635","105.70333","December 31, 15","0.01635"
"2016-01-04","102.61","105.37","102.0","105.35","98.74","67649400","67649400","-2.74","-2.67","104.24","January 04, 16","-0.0267"
"2016-01-05","105.75","105.85","102.41","102.71","96.27","55791000","55791000","3.04","2.875","103.65667","January 05, 16","0.02875"
"2016-01-06","100.56","102.37","99.87","100.7","94.38","68457400","68457400","-0.14","-0.139","100.98","January 06, 16","-0.00139"
"2016-01-07","98.68","100.13","96.43","96.45","90.4","81094400","81094400","2.23","2.26","97.67","January 07, 16","0.0226"
"2016-01-08","98.55","99.11","96.76","96.96","90.88","70798000","70798000","1.59","1.613","97.61","January 08, 16","0.01613"
